player_level,position,pos_sorted,player_name,client_platform,player_level_display,is_guest,player_dnf,pnhl_online_game_type,team_id,team_side,opponent_club_id,opponent_team_id,opponent_score,score,rating_defense,rating_offense,rating_teamplay,toi,toi_seconds,skassists,skbs,skdeflections,skfol,skfopct,skfow,skgiveaways,skgoals,skgwg,skhits,skinterceptions,skpassattempts,skpasses,skpasspct,skpenaltiesdrawn,skpim,skpkclearzone,skplusmin,skpossession,skppg,sksaucerpasses,skshg,skshotattempts,skshotonnetpct,skshotpct,skshots,sktakeaways,glbrksavepct,glbrksaves,glbrkshots,gldsaves,glga,glgaa,glpensavepct,glpensaves,glpenshots,glpkclearzone,glpokechecks,glsavepct,glsaves,glshots,glsoperiods,points,faceoffs_total,faceoff_percentage,shots_missed,shooting_percentage,passes_missed,passing_percentage,goals_saved,save_percentage,major_penalties,minor_penalties,total_penalties,points_per_60,possession_per_minute,shot_efficiency,takeaway_giveaway_ratio,penalty_differential,defensive_actions_per_minute,offensive_impact,defensive_impact,detailed_position,position_abbreviation,game_impact_score,puck_management_rating,possession_efficiency,net_defensive_contribution,time_adjusted_rating,shot_generation_rate,offensive_zone_presence,two_way_rating,match_id,club_id,player_id,game_result,home_away
1,rightWing,3,max41_hockey,ps5,35,1,0,5,501,1,49949,500,2,4,70.0,90.0,60.0,60,3600,2,0,0,1,0.0,0,10,1,0,4,6,20,15,75.0,0,0,0,3,230,0,0,0,5,40.0,50.0,2,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,3,1,0.0,3,50.0,5,75.0,,,0,0,0,3.0,3.83,20.0,0.2,0,0.1,0.08,-0.07,rightWing,RW,6.0,3.8,0.78,-2,110.0,0.08,5.8,3.1,24308684780384,40295,1005418215766,win,away
15,defenseMen,1,xFaber7x,xbsx,261,1,0,5,500,0,49949,501,2,3,75.0,60.0,60.0,60,3600,0,1,0,0,0.0,0,4,0,0,1,3,13,11,84.62,0,0,0,1,141,0,1,0,1,0.0,0.0,0,3,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,,1,,2,84.62,,,0,0,0,0.0,2.35,0.0,0.75,0,0.08,0.0,0.02,rightDefense,RD,7.0,4.6,0.0,3,97.5,0.02,3.2,2.0,24308461110156,40295,919928,win,home
2,leftWing,4,Lemzy-_,ps5,299,1,0,5,500,0,49949,501,2,3,60.0,100.0,85.0,60,3600,2,0,0,0,0.0,0,15,1,0,10,4,22,16,72.73,0,0,0,1,225,0,0,0,3,100.0,33.33,3,4,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,3,0,,0,33.33,6,72.73,,,0,0,0,3.0,3.75,33.33,0.27,0,0.23,0.09,-0.02,leftWing,LW,6.2,3.5,0.8,-7,122.5,0.05,5.5,2.6,24308461110156,40295,286862469,win,home
1,center,5,Arkantxs,ps5,293,1,0,5,500,0,49949,501,2,3,95.0,100.0,75.0,60,3600,1,0,0,5,61.54,8,2,0,0,0,9,25,22,88.0,0,0,0,1,207,0,1,0,2,50.0,0.0,1,3,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1,13,61.54,1,0.0,3,88.0,,,0,0,0,1.0,3.45,0.0,1.5,0,0.05,0.03,0.02,center,C,7.0,6.9,0.29,10,135.0,0.03,5.1,3.6,24308461110156,40295,885821045,win,home
15,defenseMen,2,oBaaryy,ps5,152,0,0,5,500,0,49949,501,2,3,55.0,70.0,50.0,60,3600,1,2,0,0,0.0,0,8,0,0,0,5,22,17,77.27,1,2,0,1,644,0,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1,0,,0,,5,77.27,,,0,1,1,1.0,10.73,,0.12,0,0.05,0.02,-0.08,leftDefense,LD,7.3,3.6,0.09,0,87.5,0.0,6.1,2.0,24308461110156,40295,1785771294,win,home
21,goalie,0,vFederico-,ps5,299,1,0,5,500,0,49949,501,2,3,80.0,60.0,65.0,60,3597,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,1,0,2,2.0,0.0,0,0,0,0,0.67,4,6,0,0,0,,0,,0,,4.0,66.67,0,0,0,0.0,0.0,,,0,0.0,0.0,0.0,goalie,G,5.0,1.7,,0,102.5,0.0,0.0,1.2,24308461110156,40295,1926158774,win,home
1,rightWing,3,max41_hockey,ps5,35,1,0,5,500,0,49949,501,2,3,65.0,95.0,65.0,60,3600,1,0,0,0,0.0,0,16,2,1,2,2,12,10,83.33,0,0,0,1,213,0,3,0,5,80.0,50.0,4,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,3,0,,1,50.0,2,83.33,,,0,0,0,3.0,3.55,40.0,0.12,0,0.07,0.12,-0.2,rightWing,RW,7.8,3.3,0.85,-12,112.5,0.08,5.2,1.9,24308461110156,40295,1005418215766,win,home
15,defenseMen,1,blunceworth,xbsx,78,1,0,5,501,1,40295,500,3,2,70.0,60.0,65.0,60,3600,0,1,0,0,0.0,0,6,0,0,2,6,15,10,66.67,0,0,0,-1,181,0,1,0,2,0.0,0.0,0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,,2,,5,66.67,,,0,0,0,0.0,3.02,0.0,0.33,0,0.08,0.0,-0.02,rightDefense,RD,5.5,3.8,0.0,3,97.5,0.03,4.2,2.0,24308461110156,49949,936289,loss,away
2,rightWing,3,Mr Space Baby,xbsx,112,1,0,5,501,1,40295,500,3,2,65.0,90.0,60.0,58,3481,1,0,1,0,0.0,0,12,1,0,4,2,21,13,61.9,1,2,0,-1,185,0,0,0,4,75.0,33.33,3,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,2,0,,1,33.33,8,61.9,,,0,1,1,2.07,3.19,25.0,0.0,0,0.07,0.08,-0.14,rightWing,RW,3.6,2.4,0.65,-10,107.5,0.07,4.9,1.4,24308461110156,49949,354581429,loss,away
22,goalie,0,Frankyboy Qc99,xbsx,128,0,0,5,501,1,40295,500,3,2,80.0,55.0,40.0,60,3600,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,1,0,3,3.0,0.0,0,0,0,0,0.67,6,9,0,0,0,,0,,0,,6.0,66.67,0,0,0,0.0,0.0,,,0,0.0,0.0,0.0,goalie,G,5.0,1.7,,0,87.5,0.0,0.0,1.2,24308461110156,49949,1610417540,loss,away
