player_id,player_name,detailed_position,war_value,offensive_war,defensive_war,teamplay_war,games_played,skgoals,skassists,skplusmin,avg_game_impact,war_per_game,points
1004991743535,Prestaraa-,leftWing,19.273263562000004,31.582980000000003,1.0134,60.47440000000001,9,11,7,5,6.522222222222222,2.1414737291111114,18
1214560564,the rocket05,center,14.456049039999993,42.97905,1.3153000000000001,18.606999999999974,5,6,4,2,6.24,2.8912098079999984,10
344702912,xLeafs33,goalie,13.500277872499998,0.0,185.96937499999996,0.0,9,0,0,0,6.966666666666667,1.500030874722222,0
1918563194,GoNicsGo,goalie,12.327226256249997,0.0,159.21307499999998,0.0,4,0,0,0,9.225,3.081806564062499,0
171460582,toslick,rightWing,10.4597406,15.739350000000002,0.6185,25.2018,3,7,5,9,8.566666666666666,3.4865802,12
1847429110,kaner23-,rightWing,10.299821645833335,15.03645,0.401,29.5794,4,3,2,-3,6.050000000000001,2.5749554114583337,5
1128544139,Bsavage28,goalie,9.440245668749998,0.0,119.78157499999999,0.0,3,0,0,0,9.2,3.1467485562499995,0
1104044130,Cammy l28l,leftWing,9.395021012499999,18.172385000000002,0.5168,21.424799999999998,3,3,0,2,6.233333333333333,3.131673670833333,3
200352848,TyrantOfSicily,rightDefense,8.849933679166664,0.5985,0.5543999999999999,39.15599999999999,6,0,4,-8,6.25,1.4749889465277775,4
1961098328,King Kapanen,leftWing,8.8311148875,16.467935,0.7188,16.588800000000006,3,11,3,15,9.566666666666668,2.9437049625,14
1338437256,Curly11C,center,8.751897424999996,12.731625000000001,1.1004,28.955999999999978,5,5,2,-3,6.04,1.7503794849999992,7
954246088,Nick5I4,center,8.715459048666663,21.33108,1.1249,14.483999999999979,6,8,11,7,6.166666666666667,1.4525765081111104,19
172218530,xT S P 0 0 N,leftWing,8.629801612500001,19.851260000000003,0.6908000000000001,11.746800000000002,3,12,8,9,10.0,2.8766005375000003,20
898912775,Nick_x_98,rightWing,8.4254715,13.692250000000001,0.308,17.2052,2,6,6,6,8.9,4.21273575,12
1696789810,justlax10,center,8.290875529999997,14.51736,0.4354,19.98899999999999,2,2,3,1,6.949999999999999,4.145437764999999,5
1005411055132,xElfpha,leftDefense,8.061855666666661,1.2904999999999998,2.6708000000000003,27.583999999999982,7,0,10,5,7.6000000000000005,1.151693666666666,10
286862469,Lemzy-_,leftWing,8.049802682333334,11.934285000000001,0.6138,19.151800000000005,3,5,6,7,8.6,2.6832675607777783,11
169724061,MBell91,center,8.017504199999998,10.420560000000002,0.7399,18.533999999999992,2,4,7,9,8.1,4.008752099999999,11
187931809,BigYanLocks-,rightWing,7.712425495,27.06055,0.552,8.408600000000002,6,9,8,8,6.8,1.2854042491666666,17
828922659,KnifeVet22,leftWing,7.670846125833334,8.732295,0.44060000000000005,37.590599999999995,6,5,1,-8,4.916666666666667,1.2784743543055557,6
1005566705735,PucksDeep22,center,7.3102369233333295,17.641395,0.8176000000000001,16.50999999999998,4,6,2,-3,5.625,1.8275592308333324,8
1826566329,l React I,goalie,7.254565124999998,0.0,96.70194999999998,0.0,3,0,0,0,8.299999999999999,2.4181883749999993,0
1006112768038,Tyezeh,rightWing,7.213008112500001,5.165325,0.5645,31.005000000000003,5,3,3,-3,4.4,1.4426016225000002,6
1811480240,Oshlag,rightDefense,7.051999249999998,0.44262500000000005,2.4508,23.856999999999992,5,0,3,2,8.22,1.4103998499999997,3
1853441786,BBoivin,leftWing,6.9472348925,2.1973599999999998,0.1788,43.2538,3,0,1,1,4.066666666666666,2.3157449641666665,1
1684579661,YOJE88,rightDefense,6.933884249999999,0.360875,1.3772000000000002,25.386999999999997,3,0,3,5,8.966666666666667,2.3112947499999996,3
1003828541055,MyBooLove88,center,6.877071876666664,12.023415,0.4172,16.536999999999985,3,5,3,5,6.0,2.292357292222221,8
1004299823705,Rodent_Lush7I7,leftWing,6.70878028,11.448360000000001,0.30279999999999996,15.5818,3,7,2,-11,8.233333333333334,2.236260093333333,9
259217813,Hxndry,leftDefense,6.671924624999995,3.996,3.2219000000000007,18.405999999999977,5,3,5,2,8.680000000000001,1.3343849249999988,8
1006227348646,Cavy l53l,leftDefense,6.503694624999996,1.6195,0.913,23.097999999999985,5,1,4,-11,7.44,1.3007389249999992,5
381619870,B_Real1337,rightWing,6.2312495000000006,9.497950000000003,0.3185,17.1118,3,6,3,5,7.133333333333334,2.0770831666666667,9
1006390619515,Bolts714,goalie,6.2133518152499985,0.0,83.17037499999998,0.0,3,0,0,0,7.733333333333333,2.0711172717499995,0
332450305,X INdiAN SwAg X,goalie,6.063811281249998,0.0,61.74569999999996,0.0,7,0,0,0,5.542857142857143,0.8662587544642854,0
1005418215766,max41_hockey,rightWing,5.8737014125,6.886000000000001,0.22949999999999998,17.257199999999997,2,3,3,4,6.9,2.93685070625,6
884106015,Nickollai,leftDefense,5.839579266666663,0.322625,1.2353000000000003,25.74399999999998,6,0,2,-8,5.95,0.9732632111111105,2
182465627,LNDxGeorgio,leftWing,5.764401451666668,16.374655,0.08339999999999999,10.014400000000002,4,6,1,-6,6.25,1.441100362916667,7
250550705,xMankii,leftDefense,5.742547124999996,0.23024999999999998,1.8502,20.619999999999987,4,0,2,-2,8.075,1.435636781249999,2
1711138984,FatHogChelly,center,5.646986699999996,4.65894,0.5628,21.524999999999984,3,3,5,9,6.7,1.8823288999999985,8
1765926580,xChxmpz--,center,5.482264715999999,8.815409999999998,0.5992000000000001,12.033999999999995,2,2,8,6,7.1,2.7411323579999993,10
