,leftWing,center,goalie,rightWing,rightDefense,leftDefense
skgoals,0.24699509840666328,0.5324994453798612,0.0,0.5812948913266548,0.046920030399955445,0.035965165250482094
skassists,0.08629061331361466,0.06286558486537629,0.0,0.033994619977090135,0.18468932077781594,0.24138394509346525
skplusmin,0.14489252014219836,0.13001212968628015,0.0,0.1752155244091824,0.3899206508243132,0.24185907345033164
points,0.1732676901980299,0.15350506474838527,0.0,0.098335896028687,0.1396394115260832,0.33566636834270447
games_played,0.34855407793949383,0.12111777532009713,1.0,0.11115906825838572,0.23883058647183228,0.14512544786301648
